Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Санкт-Петербург - Металлочерепица	металлочерепица под ключ санкт-петербург	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	sankt-peterburg.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=sankt-peterburg_tenant1
-	Санкт-Петербург - Металлочерепица	кровля металлочерепица цена санкт-петербург	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	sankt-peterburg.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=sankt-peterburg_tenant1
-	Санкт-Петербург - Профнастил	монтаж профнастила на крышу санкт-петербург	Кровля из профнастила	От 1400 руб/м² в Санкт-Петербург	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	sankt-peterburg.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=sankt-peterburg_tenant1
-	Санкт-Петербург - Профнастил	крыша из профнастила санкт-петербург	Кровля из профнастила	От 1400 руб/м² в Санкт-Петербург	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	sankt-peterburg.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=sankt-peterburg_tenant1
-	Санкт-Петербург - Профнастил	перекрыть крышу профлистом санкт-петербург	Кровля из профнастила	От 1400 руб/м² в Санкт-Петербург	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	sankt-peterburg.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=sankt-peterburg_tenant1
-	Санкт-Петербург - Профнастил	кровля профнастил цена санкт-петербург	Кровля из профнастила	От 1400 руб/м² в Санкт-Петербург	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	sankt-peterburg.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=sankt-peterburg_tenant1
-	Санкт-Петербург - Гибкая черепица	монтаж мягкой кровли санкт-петербург	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	sankt-peterburg.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=sankt-peterburg_tenant1
-	Санкт-Петербург - Гибкая черепица	гибкая черепица монтаж санкт-петербург	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	sankt-peterburg.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=sankt-peterburg_tenant1
-	Санкт-Петербург - Гибкая черепица	мягкая кровля цена санкт-петербург	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	sankt-peterburg.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=sankt-peterburg_tenant1
-	Санкт-Петербург - Гибкая черепица	укладка мягкой черепицы санкт-петербург	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	sankt-peterburg.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=sankt-peterburg_tenant1
